no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
1.0,1.0,0.8591490878354858,1.0,1.0,1.0,0.9413121199314524
1.0,1.0,0.9400758118776535,1.0,1.0,1.0,0.9750315882823557
1.0,1.0,0.625889436219011,1.0,1.0,1.0,0.844120598424588
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.8794862655237612,1.0,1.0,1.0,0.9497859439682338
1.0,0.0,0.0,1.0,1.0,1.0,0.0
1.0,1.0,0.12022440878013115,1.0,1.0,1.0,0.6334268369917213
1.0,1.0,0.41877629525752824,1.0,1.0,1.0,0.7578234563573035
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.8248187471690146,1.0,1.0,1.0,0.9270078113204226
1.0,1.0,0.7377667409549509,1.0,1.0,1.0,0.8907361420645629
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.6096670957483461,1.0,1.0,1.0,0.8373612898951442
1.0,1.0,0.7530585781807533,1.0,1.0,0.5,0.8971077409086471
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.38412137065622903,1.0,1.0,1.0,0.7433839044400954
0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,0.8956745302951573,1.0,1.0,1.0,0.9565310542896489
1.0,0.0,0.0,1.0,1.0,1.0,0.0
1.0,1.0,0.5755015658812948,1.0,1.0,1.0,0.8231256524505395
1.0,1.0,0.7883294690227624,1.0,1.0,1.0,0.911803945426151
1.0,1.0,0.6434632807996209,1.0,1.0,1.0,0.8514430336665088
1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
1.0,1.0,0.7999603804286154,1.0,1.0,1.0,0.916650158511923
1.0,1.0,0.3057291850288633,1.0,1.0,1.0,0.7107204937620265
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9157408887379481,1.0,1.0,1.0,0.964892036974145
1.0,1.0,1.0,1.0,1.0,0.0,1.0
1.0,1.0,0.5143210173747019,1.0,1.0,1.0,0.7976337572394591
1.0,1.0,0.4158269896008712,1.0,1.0,1.0,0.756594579000363
1.0,1.0,0.839045791601067,1.0,1.0,1.0,0.9329357465004445
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.6924607645996108,1.0,1.0,1.0,0.8718586519165045
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0
1.0,1.0,0.6588044919557335,1.0,1.0,1.0,0.8578352049815555
1.0,1.0,0.6006045388429099,1.0,1.0,1.0,0.8335852245178792
1.0,0.0,0.0,1.0,1.0,1.0,0.0
